user_id,name,email,age
00234e50-34eb-4ce2-94ec-26e3fa749796,Dan Altenwerth Jr.,Molly59@gmail.com,67
006bfede-724d-4cdd-a2a6-59700f40d0da,Glenda Wisozk,Miriam21@gmail.com,119
006e1f7f-90c2-45ad-8c1d-1275d594cc88,Daniel Fahey IV,Delia.Lesch11@hotmail.com,49
00af05c9-0a86-419e-8c2d-5fb7e899ae1c,Ronnie Bechtelar,Sandra19@yahoo.com,22
00cc08cc-62f4-4da1-b8e4-f5d9ef5dbbd4,Alma Bechtelar,Shelly_Balistreri22@hotmail.com,102
0102f8cc-90cf-4f36-ac99-1bbd6e40f5b4,Mrs. Lorraine Luettgen,Isabell.Langworth31@gmail.com,28
0109db82-8b9c-4e0b-9c95-e1b3f5c0f4a7,Gloria Ebert,Emelia87@hotmail.com,84
011c84d2-4d85-4e91-9c3d-8d4f5e2a7b9c,Kenneth Balistreri,Monique.Corkery@yahoo.com,56
0129a4b5-3c7d-4f2e-8a1b-7d9e4f5a6c8b,Sarah Mitchell,sarah.mitchell@gmail.com,34
013b6f8e-4a9c-4e5d-9b2f-8e1a7c4d9f6b,Michael Johnson,michael.j@yahoo.com,42
